response_time,ego_max_accel,ego_min_brake,lead_max_brake,temperature,pool_beta,rss_violation_rate,severe_rss_violation_rate,min_rss_margin_mean,min_rss_margin_p05,min_rss_margin_p50,min_rss_margin_p95,corr_min_rss_margin_min_ttc,corr_min_rss_margin_min_gap,recorded_highd_false_positive_rate
0.5,1.0,8.0,8.0,1.0,8.0,0.09015,0.0118,36.43256532935483,-3.30095032453537,22.712895393371582,127.0972370147705,0.19395570129560588,0.970045688718215,0.0118
0.5,2.0,3.0,3.0,1.0,8.0,0.30765,0.1578,24.21940203962064,-23.838067531585693,12.46095085144043,116.87368011474608,0.40098541193464543,0.8451065349284633,0.1578
0.5,2.0,3.0,4.0,1.0,8.0,0.7191,0.6328,-13.580145214193736,-68.43363304138184,-22.432403564453125,77.9198745727539,0.3694968115444628,0.7724261090643704,0.6328
0.5,2.0,3.0,6.0,1.0,8.0,0.88065,0.8426,-53.21860221193056,-117.08426475524902,-59.52610778808594,34.58228321075437,0.2923011223900259,0.659676471358386,0.8426
0.5,2.0,3.0,8.0,1.0,8.0,0.92435,0.894,-73.13769918204686,-142.932706451416,-78.53252410888672,14.362020063400218,0.2482793437780223,0.5900391644698316,0.894
0.5,2.0,4.0,3.0,1.0,8.0,0.00715,0.00295,51.25869521611773,11.390006637573242,38.22271728515625,139.96692581176754,0.11813848261176788,0.9683328651767737,0.00295
0.5,2.0,4.0,4.0,1.0,8.0,0.23565,0.09295,28.448057680050727,-15.31068229675293,15.788776874542236,119.55655364990228,0.32752837783797256,0.9028208620209938,0.09295
0.5,2.0,4.0,6.0,1.0,8.0,0.70235,0.60525,-10.059368416337948,-60.342197036743165,-19.29574203491211,78.42208137512206,0.28625576863488894,0.8350260121168099,0.60525
0.5,2.0,4.0,8.0,1.0,8.0,0.81,0.7488,-29.916155311124538,-84.57800254821777,-37.40984344482422,55.84604320526121,0.24763917665939375,0.7782913924391,0.7488
0.5,2.0,6.0,3.0,1.0,8.0,0.0,0.0,54.58022597684264,14.180002021789551,40.56999588012695,147.72051544189452,0.03728831925475084,0.9987958555398441,0.0
0.5,2.0,6.0,4.0,1.0,8.0,0.00095,0.0001,53.3215796178855,13.34000015258789,39.78000450134277,144.87651138305654,0.06765654824574177,0.9907107612296256,0.0001
0.5,2.0,6.0,6.0,1.0,8.0,0.1594,0.03665,32.50589010500047,-8.165603876113892,19.13264274597168,123.44048271179199,0.24293897321044694,0.9497678959976908,0.03665
0.5,2.0,6.0,8.0,1.0,8.0,0.47395,0.3106,13.1520598646298,-29.785916996002197,1.691190242767334,101.87059669494629,0.22223862684187348,0.9276213572929769,0.3106
0.5,2.0,8.0,3.0,1.0,8.0,0.0,0.0,54.73250186840892,14.220008373260498,40.65000343322754,148.1759979248046,0.033580315442061484,0.9998644533679396,0.0
0.5,2.0,8.0,4.0,1.0,8.0,0.0,0.0,54.55812235521674,14.150001335144044,40.56999206542969,147.72051544189452,0.03774482927312653,0.9989664630560349,0.0
0.5,2.0,8.0,6.0,1.0,8.0,0.00355,0.00035,50.25454874524758,9.919882488250732,37.00499725341797,141.11359329223632,0.1332726936318845,0.984088280919001,0.00035
0.5,2.0,8.0,8.0,1.0,8.0,0.1226,0.01855,34.416785623781486,-5.375995445251465,20.683626174926758,124.9307247161865,0.19639771826937286,0.9682184892652795,0.01855
0.7,0.5,3.0,3.0,1.0,8.0,0.29355,0.1482,24.931197061758134,-23.01101484298706,13.199450969696045,117.21599121093742,0.39975070788994876,0.84643283098174,0.1482
0.7,0.5,3.0,4.0,1.0,8.0,0.71375,0.6259,-12.800525850370855,-67.56961593627929,-21.67880153656006,78.75502281188965,0.3694277740254991,0.7735276098584587,0.6259
0.7,0.5,3.0,6.0,1.0,8.0,0.87835,0.83935,-52.43389249315937,-116.1923454284668,-58.74650192260742,35.35294437408446,0.29237485829613163,0.6609432506039635,0.83935
0.7,0.5,3.0,8.0,1.0,8.0,0.92265,0.8919,-72.3526957542714,-142.03864822387695,-77.75760650634766,15.101349401473998,0.24836226381073578,0.5913047281746614,0.8919
